Lap,stingray,tokyo drift,dr quinn,ehouse mustang,minitesla,Fubar 1,dragula,Livfree,mystery machine RIT,mattstang,dodge ram,red baron
1,44.641,84.087,85.489,42.97,85.262,84.679,86.404,85.788,86.711,84.094,87.931,84.55
2,56.887,18.942,21.711,59.316,20.815,23.174,23.157,22.56,26.824,30.708,56.109,33.644
3,17.901,18.69,19.353,18.559,19.722,19.832,20.666,29.677,23.796,24.197,22.261,21.762
4,21.632,21.265,19.238,21.246,19.278,19.377,18.672,20.912,22.606,21.308,20.085,89.018
5,19.545,19.779,19.364,19.796,19.99,20.025,19.473,18.861,20.647,21.05,19.539,20.208
6,18.383,18.254,18.903,20.348,17.886,20.143,20.043,19.551,21.421,21.782,30.535,19.354
7,17.846,20.593,20.386,20.4,21.507,19.773,19.742,19.222,31.483,24.945,26.03,30.135
8,17.403,17.2,22.38,28.275,29.962,28.696,26.809,22.598,23.858,20.027,21.328,
9,23.028,21.674,18.944,18.949,22.17,23.426,22.892,24.256,23.393,19.259,24.413,
10,24.777,22.616,18.606,19.639,19.06,20.563,20.752,21.296,20.871,19.118,20.783,
11,19.301,19.119,19.746,19.726,19.35,19.993,18.879,20.353,21.955,19.937,,
12,20.537,20.526,20.049,19.562,20.151,19.339,18.414,21.169,21.093,20.752,,
13,19.826,19.976,19.869,20.223,19.04,20.27,20.142,19.175,19.943,19.041,,
14,17.708,17.68,18.959,18.115,19.399,21.111,18.686,19.601,20.234,27,,
15,16.994,19.246,18.456,21.372,20.836,18.929,20.258,20.692,19.98,17.286,,
16,19.161,17.486,18.764,18.182,18.858,19.055,20.364,19.73,20.098,19.896,,
17,19.179,18.481,19.075,19.321,19.977,19.538,20.177,19.786,19.529,18.34,,
18,18.409,18.257,18.313,19.703,27.343,20.065,18.6,20.134,19.793,18.945,,
19,16.929,19.021,19.401,20.23,19.291,18.793,18.259,20.402,19.949,19.86,,
20,18.202,16.625,18.089,18.725,20.328,18.5,17.999,20.223,25.858,20.783,,
21,18.571,18.026,17.751,19.895,17.692,18.596,19.632,19.55,20.789,22.464,,
22,19.487,19.369,18.551,19.923,17.997,19.414,20.246,18.017,20.526,32.995,,
23,19.387,19.523,19.106,17.988,19.75,19.959,21.471,24.105,22.629,21.4,,
24,18.434,18.572,21.928,22.411,18.214,21.45,22.869,18.362,22.828,26.326,,
25,22.487,22.68,19.791,18.816,19.218,19.706,21.064,27.058,21.136,18.29,,
26,17.677,17.348,19.031,18.143,20.565,21.713,21.594,21.036,21.021,,,
27,18.015,18.28,19.587,21.99,19.323,18.687,21.052,19.89,20.333,,,
28,17.814,20.292,18.143,23.237,18.808,20.303,24.226,21.676,,,,
29,18.701,16.823,18.802,20.867,18.362,21.524,17.661,,,,,
30,24.735,25.792,19.346,,,,,,,,,